track,instrument,start_time,end_time,note_type,note_strength
0,,157.412624,162.691329875,45,40
0,,5.1612800000000005,158.195248125,34,40
0,,8.709660000000001,158.195248125,34,40
0,,25.8064,158.195248125,34,40
0,,29.35478,158.195248125,34,40
0,,46.45152,158.195248125,34,40
0,,49.999900000000004,158.195248125,34,40
0,,87.74176,158.195248125,34,40
0,,91.29014000000001,158.195248125,34,40
0,,108.38688,158.195248125,34,40
0,,111.93526000000001,158.195248125,34,40
0,,11.2903,158.22549,39,40
0,,12.9032,158.22549,39,40
0,,18.06448,158.22549,39,40
0,,19.238838,158.22549,39,40
0,,31.93542,158.22549,39,40
0,,33.548320000000004,158.22549,39,40
0,,38.7096,158.22549,39,40
0,,52.580540000000006,158.22549,39,40
0,,54.19344,158.22549,39,40
0,,59.35472,158.22549,39,40
0,,60.32246000000001,158.22549,39,40
0,,66.45148,158.22549,39,40
0,,93.87078000000001,158.22549,39,40
0,,95.48368,158.22549,39,40
0,,100.64496000000001,158.22549,39,40
0,,114.5159,158.22549,39,40
0,,116.12880000000001,158.22549,39,40
0,,121.29008,158.22549,39,40
0,,122.25782000000001,158.22549,39,40
0,,128.38684,158.22549,39,40
0,,154.8384,158.22549,39,40
0,,151.997112,158.22549,2d,40
0,,154.8384,158.22549,2d,40
0,,69.67728000000001,159.93247583333334,40,40
0,,74.83856,159.93247583333334,40,40
0,,131.61264,159.93247583333334,40,40
0,,136.77392,159.93247583333334,40,40
