StudioTestName,ParticipantName,RecordingName,RecordingDuration,RecordingResolution,MediaName,MediaPosX (ADCSpx),MediaPosY (ADCSpx),MediaWidth,MediaHeight,RecordingTimestamp,LocalTimeStamp,EyeTrackerTimestamp,StudioEventIndex,StudioEvent,StudioEventData,ExternalEventIndex,ExternalEvent,ExternalEventValue,EventMarkerValue,FixationIndex,SaccadeIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),SaccadicAmplitude,AbsoluteSaccadicDirection,RelativeSaccadicDirection,GazePointIndex,GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),GazePointX (MCSpx),GazePointY (MCSpx),GazePointLeftX (ADCSmm),GazePointLeftY (ADCSmm),GazePointRightX (ADCSmm),GazePointRightY (ADCSmm),StrictAverageGazePointX (ADCSmm),StrictAverageGazePointY (ADCSmm),EyePosLeftX (ADCSmm),EyePosLeftY (ADCSmm),EyePosLeftZ (ADCSmm),EyePosRightX (ADCSmm),EyePosRightY (ADCSmm),EyePosRightZ (ADCSmm),CamLeftX,CamLeftY,CamRightX,CamRightY,DistanceLeft,DistanceRight,PupilLeft,PupilRight,ValidityLeft,ValidityRight,IRMarkerCount,IRMarkerID,PupilGlassesRight
Btest_new3,P24,Rec 241,22704,1920 x 1080,,,,,,80,19:09:43.167,1538827864948036,,,,,,,0,,,,,,,,,,1,1055,940,992,965,1023,952,,,282.45,37.72,265.52,30.93,273.98,34.32,213.89,119.50,491.12,269.68,116.14,495.31,,,,,504.40,504.40,4.28,4.17,0,0,,,
Btest_new3,P24,Rec 241,22704,1920 x 1080,,,,,,84,19:09:43.171,1538827864952033,,,,,,,0,1,,Fixation,248,,,,,,2,1061,938,987,971,1024,954,,,283.98,38.23,264.09,29.31,274.04,33.77,213.96,119.47,491.13,269.75,116.10,495.30,,,,,504.40,504.40,4.27,4.15,0,0,,,
Btest_new3,P24,Rec 241,22704,1920 x 1080,,,,,,88,19:09:43.175,1538827864956034,,,,,,,0,1,,Fixation,248,,,,,,3,1059,935,990,970,1024,952,,,283.31,38.89,264.83,29.57,274.07,34.23,214.03,119.44,491.12,269.82,116.08,495.34,,,,,504.38,504.38,4.27,4.14,0,0,,,
Btest_new3,P24,Rec 241,22704,1920 x 1080,,,,,,92,19:09:43.179,1538827864960026,,,,,,,0,1,,Fixation,248,,,,,,4,1058,938,988,970,1023,954,,,283.03,38.08,264.37,29.66,273.70,33.87,214.09,119.41,491.15,269.89,116.03,495.33,,,,,504.39,504.39,4.24,4.13,0,0,,,
Btest_new3,P24,Rec 241,22704,1920 x 1080,,,,,,96,19:09:43.183,1538827864964027,,,,,,,0,1,,Fixation,248,,,,,,5,1061,940,988,971,1024,955,,,283.85,37.69,264.40,29.39,274.13,33.54,214.16,119.38,491.15,269.96,116.00,495.37,,,,,504.37,504.37,4.23,4.12,0,0,,,
Btest_new3,P24,Rec 241,22704,1920 x 1080,,,,,,100,19:09:43.187,1538827864968024,,,,,,,0,1,,Fixation,248,,,,,,6,1060,942,988,967,1024,954,,,283.68,37.13,264.51,30.22,274.10,33.68,214.22,119.35,491.17,270.02,115.95,495.34,,,,,504.38,504.38,4.22,4.13,0,0,,,
Btest_new3,P24,Rec 241,22704,1920 x 1080,,,,,,104,19:09:43.191,1538827864972022,,,,,,,0,1,,Fixation,248,,,,,,7,1063,942,991,969,1027,955,,,284.39,36.98,265.14,29.75,274.77,33.36,214.28,119.31,491.16,270.08,115.91,495.36,,,,,504.36,504.36,4.21,4.10,0,0,,,
Btest_new3,P24,Rec 241,22704,1920 x 1080,,,,,,108,19:09:43.195,1538827864976020,,,,,,,0,1,,Fixation,248,,,,,,8,1054,945,994,969,1024,957,,,282.06,36.32,266.00,29.84,274.03,33.08,214.34,119.27,491.17,270.13,115.86,495.36,,,,,504.35,504.35,4.20,4.08,0,0,,,
Btest_new3,P24,Rec 241,22704,1920 x 1080,,,,,,112,19:09:43.199,1538827864980018,,,,,,,0,1,,Fixation,248,,,,,,9,1049,948,981,976,1015,962,,,280.66,35.47,262.64,27.98,271.65,31.72,214.37,119.23,491.20,270.16,115.81,495.36,,,,,504.36,504.36,4.20,4.09,0,0,,,
Btest_new3,P24,Rec 241,22704,1920 x 1080,,,,,,116,19:09:43.203,1538827864984014,,,,,,,0,1,,Fixation,248,,,,,,10,1040,956,970,982,1005,969,,,278.27,33.28,259.54,26.24,268.90,29.76,214.41,119.19,491.21,270.18,115.75,495.34,,,,,504.35,504.35,4.19,4.10,0,0,,,
